Do you agree to participate in this survey?  ,Which faculty are you from?,What is your current year of study?,"In your own words, what does sustainability mean to you as a university student?  ","What do you know about the Sustainable Development Goals (SDGs), if any?  ",What is your overall opinion on Universiti Malaya’s efforts toward sustainability and the SDGs?  ,How satisfied are you with UM’s sustainability initiatives?  ,Can you describe any sustainability-related practices you personally follow as a UM student (or explain why you do not)?  ,Have you ever participated in sustainability-related activities or programs at UM?  ,What challenges or difficulties do you think prevent UM students from practicing sustainability on campus?  ,What suggestions do you have to improve sustainability practices and awareness among UM students?  ,Do you have any additional comments or opinions related to sustainability or the SDGs at Universiti Malaya?  ,raw_text,clean_text,label_id,label,sdg_topics_multi,wc_text
"Yes, I agree",Faculty of Computer Science and Information Technology,Year 3,to me it means something that can be do for a long time without any bad effects,sdg is some goals that make sure society is developing towards,"is ok, they are moving towards paperless and have quite a lot of policies regarding sustainability",4,"im not sure whether i did any practices. i rarely ever use paper, i car pool but thats about it",No,the time and effort required to actively do it,somehow integrate into their websites and let people know what are the best practices for sustainability,no,"to me it means something that can be do for a long time without any bad effects sdg is some goals that make sure society is developing towards is ok, they are moving towards paperless and have quite a lot of policies regarding sustainability im not sure whether i did any practices. i rarely ever use paper, i car pool but thats about it the time and effort required to actively do it somehow integrate into their websites and let people know what are the best practices for sustainability no",to me it mean something that can be do for a long time without any bad effect sdg is some goal that make sure society is developing towards is ok they are moving towards paperless and have quite a lot of policy regarding sustainability im not sure whether i did any practice i rarely ever use paper i car pool but thats about it the time and effort required to actively do it somehow integrate into their website and let people know what are the best practice for sustainability no,2,positive,"['SDG 12: Responsible Consumption and Production', 'SDG 16: Peace, Justice and Strong Institutions']",mean long time bad effect sdg goal make sure society developing ok moving paperless quite lot policy regarding sustainability im sure did practice rarely use paper car pool thats time effort required actively integrate website let people know best practice sustainability
"Yes, I agree",Faculty of Sport and Exercise Sciences,Year 2,recycling and not using plastic,honestly i have no idea what that is,its fine not great not terrible,3,i usually take the bus to class,No,i think many people dont know they are doing it or not,i think best way is reminding people what to do in spectrum or other websites,"UM actually have a lot of things i saw related to sdg and sustainability, but i dont really follow","recycling and not using plastic honestly i have no idea what that is its fine not great not terrible i usually take the bus to class i think many people dont know they are doing it or not i think best way is reminding people what to do in spectrum or other websites UM actually have a lot of things i saw related to sdg and sustainability, but i dont really follow",recycling and not using plastic honestly i have no idea what that is it fine not great not terrible i usually take the bus to class i think many people dont know they are doing it or not i think best way is reminding people what to do in spectrum or other website um actually have a lot of thing i saw related to sdg and sustainability but i dont really follow,2,positive,"['SDG 11: Sustainable Cities and Communities', 'SDG 12: Responsible Consumption and Production']",recycling using plastic honestly idea fine great terrible usually bus class think people dont know doing think best way reminding people spectrum website um actually lot thing saw related sdg sustainability dont really follow
"Yes, I agree",Faculty of Education,Year 1,saving the environment for future generation,its a framework for sustainable future for everyone,pretty good actually i see many posters,4,i dont use straws when i drink,Yes,bus schedule is not reliable so people drive,educate the cafe worker to use less plastic,maybe involve students more,saving the environment for future generation its a framework for sustainable future for everyone pretty good actually i see many posters i dont use straws when i drink bus schedule is not reliable so people drive educate the cafe worker to use less plastic maybe involve students more,saving the environment for future generation it a framework for sustainable future for everyone pretty good actually i see many poster i dont use straw when i drink bus schedule is not reliable so people drive educate the cafe worker to use less plastic maybe involve student more,2,positive,"['SDG 2: Zero Hunger', 'SDG 11: Sustainable Cities and Communities', 'SDG 12: Responsible Consumption and Production']",saving environment future generation framework sustainable future pretty good actually poster dont use straw drink bus schedule reliable people drive educate cafe worker use plastic maybe involve student
"Yes, I agree",Faculty of Computer Science and Information Technology,Year 2,not wasting electricity and water,never heard of it before this,doing okay i guess but can do more,2,i dont use straws when i drink,No,aircond in lecture hall always too cold wasting energy,make the bus arrive on time so we dont drive,please fix the bus system,not wasting electricity and water never heard of it before this doing okay i guess but can do more i dont use straws when i drink aircond in lecture hall always too cold wasting energy make the bus arrive on time so we dont drive please fix the bus system,not wasting electricity and water never heard of it before this doing okay i guess but can do more i dont use straw when i drink aircond in lecture hall always too cold wasting energy make the bus arrive on time so we dont drive please fix the bus system,2,positive,"['SDG 6: Clean Water and Sanitation', 'SDG 7: Affordable and Clean Energy', 'SDG 11: Sustainable Cities and Communities']",wasting electricity water heard doing okay guess dont use straw drink aircond lecture hall cold wasting energy make bus arrive time dont drive fix bus
"Yes, I agree",Faculty of Computer Science and Information Technology,Year 3,making sure we dont destroy the earth,goals set by people to protect planet and ensure clean environment,um is trying but not enough awareness,4,nothin much just throwin rubbish into bin,No,the weather is too hot to walk anywhere,start a community garden for students,all good,making sure we dont destroy the earth goals set by people to protect planet and ensure clean environment um is trying but not enough awareness nothin much just throwin rubbish into bin the weather is too hot to walk anywhere start a community garden for students all good,making sure we dont destroy the earth goal set by people to protect planet and ensure clean environment um is trying but not enough awareness nothin much just throwin rubbish into bin the weather is too hot to walk anywhere start a community garden for student all good,2,positive,"['SDG 4: Quality Education', 'SDG 11: Sustainable Cities and Communities']",making sure dont destroy earth goal set people protect planet ensure clean environment um trying awareness nothin just throwin rubbish bin weather hot walk start community garden student good
"Yes, I agree",Faculty of Computer Science and Information Technology,Year 3,using resources wisely so we dont run out,guidelines for countries to achieve sustainability,I see some efforts like recycling bins but they are always full,3,always bring my tumbler so i dont buy plastic bottles,No,students rush to class so no time to recycle,more trees for shade so we can walk,just keep it up,using resources wisely so we dont run out guidelines for countries to achieve sustainability I see some efforts like recycling bins but they are always full always bring my tumbler so i dont buy plastic bottles students rush to class so no time to recycle more trees for shade so we can walk just keep it up,using resource wisely so we dont run out guideline for country to achieve sustainability i see some effort like recycling bin but they are always full always bring my tumbler so i dont buy plastic bottle student rush to class so no time to recycle more tree for shade so we can walk just keep it up,2,positive,['SDG 12: Responsible Consumption and Production'],using resource wisely dont run guideline country achieve sustainability effort like recycling bin bring tumbler dont buy plastic bottle student rush class time recycle tree shade walk just
"Yes, I agree",Faculty of Computer Science and Information Technology,Year 1,just be eco friendly i guess,honestly i have no idea what that is,needs improvement especially in waste management,2,just avoiding plastic bags whenever i can,No,have to use too much electronic devices and charge them,ban plastic in all cafes,no,just be eco friendly i guess honestly i have no idea what that is needs improvement especially in waste management just avoiding plastic bags whenever i can have to use too much electronic devices and charge them ban plastic in all cafes no,just be eco friendly i guess honestly i have no idea what that is need improvement especially in waste management just avoiding plastic bag whenever i can have to use too much electronic device and charge them ban plastic in all cafe no,2,positive,"['SDG 2: Zero Hunger', 'SDG 12: Responsible Consumption and Production']",just eco friendly guess honestly idea need improvement especially waste management just avoiding plastic bag use electronic device charge ban plastic cafe
"Yes, I agree",Faculty of Language and Linguistics,Year 3,recycling and not using plastic,is it something about recycling bins,they talk a lot but implementation is slow,1,honestly i am too lazy to do anything special,No,recycling bins are always full or missing,better walkways for pedestrians,um can do better,recycling and not using plastic is it something about recycling bins they talk a lot but implementation is slow honestly i am too lazy to do anything special recycling bins are always full or missing better walkways for pedestrians um can do better,recycling and not using plastic is it something about recycling bin they talk a lot but implementation is slow honestly i am too lazy to do anything special recycling bin are always full or missing better walkway for pedestrian um can do better,1,neutral,"['SDG 4: Quality Education', 'SDG 12: Responsible Consumption and Production']",recycling using plastic recycling bin talk lot implementation slow honestly lazy special recycling bin missing better walkway pedestrian um better
"Yes, I agree",Faculty of Computer Science and Information Technology,Year 2,not wasting electricity and water,not sure maybe about planting trees,initiatives are there but students dont care,5,separating my paper n plastic trash in the room,No,cafe uses too much plastic container and utensils,provide reusable cutleries in food court,no,not wasting electricity and water not sure maybe about planting trees initiatives are there but students dont care separating my paper n plastic trash in the room cafe uses too much plastic container and utensils provide reusable cutleries in food court no,not wasting electricity and water not sure maybe about planting tree initiative are there but student dont care separating my paper n plastic trash in the room cafe us too much plastic container and utensil provide reusable cutlery in food court no,2,positive,"['SDG 2: Zero Hunger', 'SDG 6: Clean Water and Sanitation', 'SDG 7: Affordable and Clean Energy', 'SDG 12: Responsible Consumption and Production']",wasting electricity water sure maybe planting tree initiative student dont care separating paper n plastic trash room cafe plastic container utensil provide reusable cutlery food court
"Yes, I agree",Faculty of Science,Year 3,saving the environment for future generation,basically the global goals for development like no poverty and climate action,quite satisfied with the green campus efforts,5,using recycle bag when i go to kk mart,Yes,not enough info on where to throw trash,campaigns that are actually fun n not boring,love the green campus vibe,saving the environment for future generation basically the global goals for development like no poverty and climate action quite satisfied with the green campus efforts using recycle bag when i go to kk mart not enough info on where to throw trash campaigns that are actually fun n not boring love the green campus vibe,saving the environment for future generation basically the global goal for development like no poverty and climate action quite satisfied with the green campus effort using recycle bag when i go to kk mart not enough info on where to throw trash campaign that are actually fun n not boring love the green campus vibe,2,positive,"['SDG 1: No Poverty', 'SDG 4: Quality Education', 'SDG 11: Sustainable Cities and Communities', 'SDG 12: Responsible Consumption and Production', 'SDG 13: Climate Action']",saving environment future generation basically global goal development like poverty climate action quite satisfied green campus effort using recycle bag kk mart info throw trash campaign actually fun n boring love green campus vibe
